Top Depth (mBRT),Bottom Depth (mBRT),Facies
1565,1577.5,2
1577.5,1580,1
1580,1584,2
1584,1591,3
1591,1596,1
1596,1597.5,2
1597.5,1600,1
1600,1604.5,4
1604.5,1605.5,1
1605.5,1606,4
1606,1607.5,1
1607.5,1611.5,4
1611.5,1616.5,1
1616.5,1617.5,2
1617.5,1640.5,1
1640.5,1644,2
1644,1675,1
1675,1676,2
1676,1681,1
1681,1685,4
1685,1687.5,1
1687.5,1690.5,4
1690.5,1696.5,1
1696.5,1700,2
1700,1707,1
1707,1710,2
1710,1712.5,1
1712.5,1714,2
1714,1715,1
1715,1719,2
1719,1721,1
1721,1724.4,2
